B1,B2,B3,B4,B5,B6,B7,Class
336,408,522,581,731,821,756,1
372,435,543,602,746,862,814,1
352,417,526,583,729,817,753,1
273,365,496,565,725,843,777,1
267,359,491,559,714,840,779,1
273,372,509,573,746,846,771,1
265,350,488,552,720,880,856,1
254,351,492,558,730,876,822,1
261,345,489,550,717,901,873,1
312,384,512,568,712,875,843,1
336,404,516,572,713,865,803,1
278,369,521,593,768,945,877,1
261,350,496,557,726,834,769,1
268,351,505,571,726,835,752,1
279,366,509,568,733,866,797,1
295,378,519,591,755,896,851,1
261,351,500,563,747,893,783,1
262,353,495,544,694,830,788,1
271,361,514,584,768,885,817,1
258,343,489,552,733,879,774,1
255,346,490,555,737,803,714,1
259,349,489,552,719,845,766,1
266,362,511,592,792,872,783,1
255,355,504,574,760,864,784,1
291,409,600,705,1240,1766,1566,1
297,413,600,705,1186,1696,1606,1
278,395,581,679,1160,1657,1536,1
285,408,581,674,1114,1611,1525,1
298,419,602,701,1172,1679,1604,1
309,425,604,710,1195,1694,1588,1
268,388,574,669,1152,1671,1556,1
276,395,572,663,1110,1582,1496,1
373,470,633,707,1125,1659,1669,1
370,461,615,696,1147,1663,1597,1
375,473,620,706,1146,1699,1700,1
397,477,606,683,1106,1610,1594,1
411,495,622,698,1101,1653,1688,1
412,495,625,704,1123,1697,1736,1
283,400,601,664,1319,1649,1764,1
291,402,582,663,1213,1624,1949,1
352,449,593,657,1196,1646,1621,1
387,476,607,637,928,1206,1202,1
390,487,639,666,989,1224,1247,1
321,422,556,587,877,1063,1082,1
345,437,570,589,854,1032,1062,1
370,468,616,642,997,1297,1252,1
414,491,611,627,896,1104,1145,1
317,434,621,747,1216,1772,1733,1
340,462,632,750,1197,1718,1669,1
358,482,657,771,1198,1754,1758,1
358,478,660,785,1217,1771,1734,1
298,442,643,754,1212,1786,1703,1
326,453,649,767,1232,1774,1661,1
286,427,643,779,1304,1857,1653,1
291,438,654,790,1315,1856,1615,1
285,376,527,594,826,1341,1450,1
285,386,545,604,875,1369,1474,1
292,388,536,606,857,1361,1463,1
284,383,536,607,852,1346,1461,1
292,388,542,610,868,1381,1481,1
295,388,543,613,877,1394,1487,1
295,385,532,603,847,1340,1443,1
294,387,543,609,884,1381,1489,1
289,387,535,610,859,1382,1481,1
298,391,546,628,885,1447,1576,1
294,388,542,615,856,1379,1468,1
303,388,548,631,899,1444,1526,1
298,386,548,632,900,1505,1543,1
304,393,554,638,914,1487,1607,1
294,385,540,609,851,1382,1507,1
303,390,548,620,858,1421,1518,1
292,383,539,616,876,1403,1482,1
293,390,543,622,862,1409,1497,1
294,386,546,632,879,1428,1495,1
319,409,578,672,970,1552,1629,1
404,464,595,682,979,1304,1176,1
353,427,550,620,859,1112,1037,1
361,434,571,658,965,1287,1176,1
348,421,550,625,860,1102,1038,1
271,357,510,591,826,1106,1011,1
266,357,507,591,856,1107,991,1
360,439,583,681,976,1226,1125,1
392,445,562,632,869,1132,1047,1
334,409,538,605,834,1076,999,1
290,384,546,628,848,1012,946,1
353,435,568,651,840,995,940,1
351,428,568,668,883,1054,1000,1
329,413,553,659,899,1089,1006,1
278,364,518,609,842,1027,957,1
328,409,545,633,842,1023,959,1
335,414,562,654,899,1129,1077,1
282,371,532,626,855,1058,988,1
304,394,536,627,858,1037,967,1
281,371,518,575,825,1029,1059,1
265,357,492,550,786,998,1017,1
