B1,B2,B3,B4,B5,B6,B7,Class
10109,9246,8409,8282,10353,12363,10890,1
10082,9246,8354,8210,10280,12274,10819,1
10104,9245,8443,8328,10450,13099,11291,1
10106,9289,8525,8538,10945,13112,11404,1
10492,9638,8607,8352,9708,10440,9594,1
10526,9731,8799,8610,10264,11149,10175,1
10511,9711,8710,8433,9917,10736,9848,1
10527,9704,8694,8446,9779,10576,9721,1
10504,9701,8720,8489,10011,10561,9504,1
10490,9665,8712,8485,9977,10534,9516,1
10481,9668,8701,8473,9899,10582,9927,1
10489,9655,8684,8492,9952,10669,9727,1
10464,9626,8534,8223,9252,10392,9709,1
10482,9652,8631,8344,9388,10103,9378,1
10511,9678,8684,8393,9625,10340,9451,1
10550,9752,8777,8533,9941,10866,9832,1
10483,9674,8659,8408,9819,10388,9242,1
